Customers,Clienti,module,"Mirasvit_Credit"
"Customer Name","Nume Client",module,"Mirasvit_Credit"
"Customer Email","Email Client",module,"Mirasvit_Credit"
Balance,Balanta,module,"Mirasvit_Credit"
"Updated At","Modificat la",module,"Mirasvit_Credit"
"Store Credit","Credit Magazin",module,"Mirasvit_Credit"
Yes,Da,module,"Mirasvit_Credit"
No,Nu,module,"Mirasvit_Credit"
"No Transactions Found","Nu s-au gasit tranzactii",module,"Mirasvit_Credit"
"Transaction #","Tranzactia nr.",module,"Mirasvit_Credit"
Date,Data,module,"Mirasvit_Credit"
"Balance Change","Schimbare Balanta",module,"Mirasvit_Credit"
Action,Actiune,module,"Mirasvit_Credit"
"Additional Message","Mesaj",module,"Mirasvit_Credit"
Transactions,Tranzactii,module,"Mirasvit_Credit"
"Add New Transaction","Adauga tranzactie",module,"Mirasvit_Credit"
Save,Salveaza,module,"Mirasvit_Credit"
Delete,Sterge,module,"Mirasvit_Credit"
"Edit Transaction '%1'","Editeaza Tranzactia '%1'",module,"Mirasvit_Credit"
"Create New Transaction","Tranzactie noua",module,"Mirasvit_Credit"
ID,ID,module,"Mirasvit_Credit"
Name,Nume,module,"Mirasvit_Credit"
Email,Email,module,"Mirasvit_Credit"
Select,Selecteaza,module,"Mirasvit_Credit"
"General Information","Informatii generale",module,"Mirasvit_Credit"
"Customer ID","ID Client",module,"Mirasvit_Credit"
Customer,Client,module,"Mirasvit_Credit"
"Store Credit Balance Change","Balanta Credit Magazin Modificata",module,"Mirasvit_Credit"
"Is Notified?","Este notificat?",module,"Mirasvit_Credit"
"Customer with email %1 does not exist.","Clientul cu adresa de email %1 nu exista.",module,"Mirasvit_Credit"
"You can not send credits to yourself","Nu poti sa iti trimiti tie credit",module,"Mirasvit_Credit"
"Send to friend %1","Trimite unui prieten %1",module,"Mirasvit_Credit"
"Received from %1 %2","Primite de la %1 %2",module,"Mirasvit_Credit"
"Balance successfully sent.","Suma a fost trimisa.",module,"Mirasvit_Credit"
"Amount cannot exceed balance amount.","Suma nu poate depasi balanta",module,"Mirasvit_Credit"
"Email subscription was successfully updated.","Abonarea a fost realizata",module,"Mirasvit_Credit"
"New Transaction","Tranzactie noua",module,"Mirasvit_Credit"
"Transaction  Manager","Mangeriaza Tranzactii",module,"Mirasvit_Credit"
"Transaction Manager","Manageriaza Tranzactii",module,"Mirasvit_Credit"
"Add Transaction ","Adauga Tranzactie ",module,"Mirasvit_Credit"
"Add Transaction","Adauga Tranzactie",module,"Mirasvit_Credit"
"Store Credit Balance should be a valid number","Balanta Creditului trebuie sa fie un numar",module,"Mirasvit_Credit"
"Transaction(s) was successfully saved","Tranzactiile au fost salvate",module,"Mirasvit_Credit"
"Unable to find transaction to save","Nu gasesc tranzatia",module,"Mirasvit_Credit"
"Order #%1","Comanda #%1",module,"Mirasvit_Credit"
"Creditmemo #%1","Creditmemo #%1",module,"Mirasvit_Credit"
"Store Credit (%1)","Credit Magazin (%1)",module,"Mirasvit_Credit"
"-- Please Select --","-- Selecteaza --",module,"Mirasvit_Credit"
"Store credit amount cannot exceed order amount.","Valoare Creditului nu poate depasi valoarea comenzii.",module,"Mirasvit_Credit"
"Balance Information","Balanta Informativa",module,"Mirasvit_Credit"
"Current Balance:","Balanta Curenta:",module,"Mirasvit_Credit"
"Last Change:","Ultima modificare:",module,"Mirasvit_Credit"
"Subscribed to email notifications?:","Te abonezi la notificarile prin email?:",module,"Mirasvit_Credit"
"Refund to Store Credit","Returneaza Credit Magazin",module,"Mirasvit_Credit"
"Use Store Credit (%1 available)","Foloseste Credit Magazin (%1 disponibil)",module,"Mirasvit_Credit"
"Used Store Credit","Credit Magazin folosit",module,"Mirasvit_Credit"
"Refunded to Store Credit","Credit Magazin Returnat",module,"Mirasvit_Credit"
"Total Refunded to Store Credit","Total Reatribuit la Credit Magazin",module,"Mirasvit_Credit"
"Use Store Credit","Foloseste Credit",module,"Mirasvit_Credit"
"Your current balance is: <b>%1</b>","Balanta ta este de: <b>%1</b>",module,"Mirasvit_Credit"
"Use Store Credit (%1)","Foloseste Credit Magazin (%1)",module,"Mirasvit_Credit"
Cancel,Anulare,module,"Mirasvit_Credit"
"Subscribe to email notifications","Inscrie-te la nortificari prin email",module,"Mirasvit_Credit"
"Send Credit to Friend","Trimite Credit unui Prieten",module,"Mirasvit_Credit"
"Email Address","Adresa Email",module,"Mirasvit_Credit"
Amount,Suma,module,"Mirasvit_Credit"
Message,Mesaj,module,"Mirasvit_Credit"
Send,Trimite,module,"Mirasvit_Credit"
"Transactions History","Istoria Tranzactiilor",module,"Mirasvit_Credit"
Comment,Comentariu,module,"Mirasvit_Credit"
"Created At","Creat La",module,"Mirasvit_Credit"
"There are no transactions yet.","Inca nu exista tranzactii",module,"Mirasvit_Credit"
"Use Max Store Credit","Foloseste tot",module,"Mirasvit_Credit"